Operation: Node 1 Operation , Duration: 8.0435e-05 seconds, Memory Usage: 40548 KB
Operation: Node 2 Operation , Duration: 5.8142e-05 seconds, Memory Usage: 40648 KB
Operation: Node 1 Operation , Duration: 5.8193e-05 seconds, Memory Usage: 40548 KB
Operation: Node 2 Operation , Duration: 9.0544e-05 seconds, Memory Usage: 40648 KB
Operation: Client DELETE, Duration: 0.000208241 seconds, Memory Usage: 40504 KB
Operation: Coordinator Operation, Duration: 0.000201728 seconds, Memory Usage: 40712 KB
Operation: Total Execution, Duration: 1.15946 seconds, Memory Usage: 40504 KB
Operation: Node 1 Operation , Duration: 0.000113992 seconds, Memory Usage: 40692 KB
Operation: Node 2 Operation , Duration: 9.5969e-05 seconds, Memory Usage: 40668 KB
Operation: Node 1 Operation , Duration: 8.4859e-05 seconds, Memory Usage: 40928 KB
Operation: Node 2 Operation , Duration: 3.8336e-05 seconds, Memory Usage: 40864 KB
Operation: Node 1 Operation , Duration: 6.4477e-05 seconds, Memory Usage: 40500 KB
Operation: Node 2 Operation , Duration: 8.7332e-05 seconds, Memory Usage: 40656 KB
Operation: Node 1 Operation , Duration: 3.3686e-05 seconds, Memory Usage: 40768 KB
Operation: Node 2 Operation , Duration: 9.2912e-05 seconds, Memory Usage: 40432 KB
Operation: Node 1 Operation , Duration: 8.0216e-05 seconds, Memory Usage: 40368 KB
Operation: Node 2 Operation , Duration: 0.000105845 seconds, Memory Usage: 40600 KB
Operation: Node 1 Operation , Duration: 2.2173e-05 seconds, Memory Usage: 40368 KB
Operation: Node 2 Operation , Duration: 3.5499e-05 seconds, Memory Usage: 40600 KB
Operation: Coordinator Operation, Duration: 0.000232952 seconds, Memory Usage: 40804 KB
Operation: Client CREATE, Duration: 0.000240447 seconds, Memory Usage: 40704 KB
Operation: Node 1 Operation , Duration: 8.3643e-05 seconds, Memory Usage: 40368 KB
Operation: Node 2 Operation , Duration: 9.5385e-05 seconds, Memory Usage: 40600 KB
Operation: Client READ, Duration: 4.5148e-05 seconds, Memory Usage: 40704 KB
Operation: Coordinator Operation, Duration: 5.8183e-05 seconds, Memory Usage: 40804 KB
Operation: Node 1 Operation , Duration: 7.8963e-05 seconds, Memory Usage: 40368 KB
Operation: Node 2 Operation , Duration: 7.4113e-05 seconds, Memory Usage: 40600 KB
Operation: Node 1 Operation , Duration: 2.5419e-05 seconds, Memory Usage: 40368 KB
Operation: Node 2 Operation , Duration: 3.2383e-05 seconds, Memory Usage: 40600 KB
Operation: Client UPDATE, Duration: 0.000132206 seconds, Memory Usage: 40704 KB
Operation: Coordinator Operation, Duration: 0.000119542 seconds, Memory Usage: 40804 KB
Operation: Node 1 Operation , Duration: 6.5047e-05 seconds, Memory Usage: 40368 KB
Operation: Node 2 Operation , Duration: 7.214e-05 seconds, Memory Usage: 40728 KB
Operation: Client READ 2, Duration: 5.2091e-05 seconds, Memory Usage: 40704 KB
Operation: Coordinator Operation, Duration: 4.5759e-05 seconds, Memory Usage: 40804 KB
Operation: Node 2 Operation , Duration: 5.0859e-05 seconds, Memory Usage: 40728 KB
Operation: Node 1 Operation , Duration: 6.8934e-05 seconds, Memory Usage: 40368 KB
Operation: Node 1 Operation , Duration: 4.9526e-05 seconds, Memory Usage: 40368 KB
Operation: Node 2 Operation , Duration: 6.1409e-05 seconds, Memory Usage: 40728 KB
Operation: Client DELETE, Duration: 0.000132397 seconds, Memory Usage: 40704 KB
Operation: Coordinator Operation, Duration: 0.000125444 seconds, Memory Usage: 40804 KB
Operation: Total Execution, Duration: 1.14669 seconds, Memory Usage: 40704 KB
Operation: Node 1 Operation , Duration: 0.000157092 seconds, Memory Usage: 40980 KB
Operation: Node 2 Operation , Duration: 0.000116344 seconds, Memory Usage: 41120 KB
Operation: Node 1 Operation , Duration: 6.8401e-05 seconds, Memory Usage: 40980 KB
Operation: Node 2 Operation , Duration: 0.000100884 seconds, Memory Usage: 41120 KB
Operation: Coordinator Operation, Duration: 0.00566065 seconds, Memory Usage: 41332 KB
Operation: Client CREATE, Duration: 0.00568345 seconds, Memory Usage: 41220 KB
Operation: Node 1 Operation , Duration: 0.000169576 seconds, Memory Usage: 40980 KB
